# Parameters: bear_hp=420, hp_mult=1.35, def_add=20, boss_hp=2526, boss_def=200, sim_count=2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_id,result,reached_wave,boss_remaining_hp,total_kills,remaining_monsters,remaining_life,total_turns,total_towers_count,tier1_count,tier2_count,tier3_count,buff_add_Fire,buff_add_Ice,buff_add_Physics,buff_add_Electric,buff_mult_Fire,buff_mult_Ice,buff_mult_Physics,buff_mult_Electric,tile_0_status,tile_1_status,tile_2_status,tile_3_status,tile_4_status,tile_5_status,tile_6_status,tile_7_status,tile_8_status,tile_9_status,tile_10_status,tile_11_status,tile_12_status,tile_13_status,tile_14_status,tile_15_status,tile_16_status,tile_17_status,tile_18_status,tile_19_status,tile_20_status,tile_21_status,tile_22_status,tile_23_status,tile_24_status,tile_25_status,tile_26_status,tile_27_status,tile_28_status,tile_29_status,tile_30_status,tile_31_status,tile_32_status,tile_33_status,tile_34_status,tile_35_status
1,LOSS,8,882.5,36,11,0,56,24,9,8,7,30,60,0,0,0.2,0.2,0,0.2,EMPTY,EMPTY,TOW_01_T2(DMG:74.0),TOW_02_T3(DMG:153.5),EMPTY,TOW_03_T1(DMG:22.5),TOW_04_T1(DMG:30.6),TOW_02_T1(DMG:85.5),TOW_01_T3(DMG:98.0),EMPTY,TOW_01_T2(DMG:64.0),EMPTY,TOW_04_T3(DMG:302.6),TOW_03_T1(DMG:22.5),TOW_01_T1(DMG:47.0),TOW_02_T3(DMG:263.5),TOW_01_T1(DMG:47.0),EMPTY,EMPTY,TOW_02_T1(DMG:85.5),TOW_01_T2(DMG:64.0),TOW_02_T3(DMG:181.0),TOW_01_T2(DMG:64.0),EMPTY,TOW_04_T3(DMG:98.6),EMPTY,TOW_01_T2(DMG:104.0),EMPTY,EMPTY,TOW_02_T2(DMG:111.0),TOW_04_T1(DMG:30.6),TOW_03_T3(DMG:97.5),EMPTY,TOW_02_T1(DMG:85.5),TOW_01_T2(DMG:74.0),TOW_03_T2(DMG:52.5)
2,WIN,8,0,42,4,5,53,28,14,7,7,30,0,0,0,0,0,0,0,EMPTY,TOW_03_T2(DMG:52.5),TOW_01_T1(DMG:45.0),TOW_02_T2(DMG:45.0),TOW_01_T3(DMG:170.0),EMPTY,TOW_04_T1(DMG:27.0),EMPTY,TOW_01_T3(DMG:90.0),EMPTY,TOW_01_T1(DMG:45.0),TOW_02_T3(DMG:192.5),TOW_04_T1(DMG:27.0),EMPTY,TOW_01_T2(DMG:60.0),TOW_02_T1(DMG:22.5),TOW_01_T3(DMG:90.0),TOW_03_T1(DMG:22.5),EMPTY,TOW_02_T1(DMG:22.5),EMPTY,TOW_02_T1(DMG:22.5),TOW_01_T1(DMG:45.0),TOW_03_T2(DMG:52.5),TOW_04_T2(DMG:49.5),TOW_02_T3(DMG:82.5),TOW_01_T1(DMG:45.0),EMPTY,TOW_01_T3(DMG:170.0),TOW_02_T1(DMG:22.5),TOW_04_T2(DMG:49.5),TOW_03_T1(DMG:22.5),TOW_01_T1(DMG:45.0),TOW_02_T2(DMG:45.0),TOW_01_T3(DMG:170.0),TOW_03_T1(DMG:22.5)
3,LOSS,8,1062,40,8,0,57,26,13,7,6,90,90,0,30,0.6,0.2,0,0,EMPTY,EMPTY,TOW_01_T2(DMG:143.0),TOW_02_T3(DMG:296.2),TOW_01_T1(DMG:111.5),TOW_03_T1(DMG:23.2),TOW_04_T2(DMG:81.2),TOW_02_T1(DMG:116.2),TOW_01_T1(DMG:111.5),EMPTY,TOW_01_T2(DMG:133.0),EMPTY,EMPTY,TOW_03_T1(DMG:23.2),TOW_01_T3(DMG:256.0),TOW_02_T3(DMG:186.2),EMPTY,EMPTY,EMPTY,TOW_02_T1(DMG:116.2),TOW_01_T1(DMG:111.5),TOW_02_T2(DMG:142.5),TOW_01_T3(DMG:256.0),TOW_03_T1(DMG:23.2),TOW_04_T3(DMG:119.9),TOW_02_T1(DMG:116.2),EMPTY,EMPTY,TOW_01_T1(DMG:111.5),TOW_02_T1(DMG:116.2),TOW_04_T1(DMG:57.9),TOW_03_T2(DMG:54.2),TOW_01_T3(DMG:256.0),TOW_02_T1(DMG:116.2),TOW_01_T2(DMG:133.0),TOW_03_T2(DMG:54.2)
4,LOSS,8,1720,39,10,0,58,24,6,10,8,0,0,0,0,0,0.2,0.2,0.4,EMPTY,TOW_03_T2(DMG:61.2),TOW_01_T1(DMG:15.5),TOW_02_T2(DMG:67.5),TOW_01_T1(DMG:15.5),TOW_03_T1(DMG:26.2),TOW_04_T3(DMG:113.1),TOW_02_T3(DMG:96.2),TOW_01_T1(DMG:15.5),EMPTY,EMPTY,EMPTY,TOW_04_T2(DMG:64.4),TOW_03_T2(DMG:61.2),TOW_01_T3(DMG:142.0),TOW_02_T1(DMG:26.2),EMPTY,TOW_03_T3(DMG:113.8),EMPTY,TOW_02_T3(DMG:96.2),EMPTY,TOW_02_T2(DMG:67.5),TOW_01_T3(DMG:62.0),TOW_03_T3(DMG:113.8),TOW_04_T2(DMG:64.4),EMPTY,EMPTY,EMPTY,TOW_01_T2(DMG:71.0),TOW_02_T1(DMG:26.2),TOW_04_T2(DMG:298.4),TOW_03_T3(DMG:633.8),TOW_01_T2(DMG:31.0),EMPTY,EMPTY,TOW_03_T2(DMG:61.2)
5,LOSS,8,890.7,38,9,0,56,28,13,8,7,90,0,0,0,0.2,0,0,0,EMPTY,EMPTY,TOW_01_T3(DMG:158.0),TOW_02_T1(DMG:22.5),TOW_01_T2(DMG:134.0),TOW_03_T1(DMG:22.5),TOW_04_T1(DMG:27.0),TOW_02_T3(DMG:110.0),TOW_01_T3(DMG:238.0),EMPTY,EMPTY,TOW_02_T1(DMG:22.5),TOW_04_T1(DMG:27.0),TOW_03_T1(DMG:22.5),TOW_01_T3(DMG:158.0),TOW_02_T1(DMG:22.5),TOW_01_T2(DMG:124.0),TOW_03_T1(DMG:22.5),EMPTY,TOW_02_T1(DMG:22.5),EMPTY,TOW_02_T2(DMG:45.0),TOW_01_T3(DMG:178.0),TOW_03_T2(DMG:332.5),TOW_04_T2(DMG:49.5),TOW_02_T1(DMG:22.5),TOW_01_T3(DMG:158.0),EMPTY,TOW_01_T1(DMG:107.0),TOW_02_T2(DMG:105.0),TOW_04_T2(DMG:229.5),TOW_03_T1(DMG:22.5),TOW_01_T3(DMG:238.0),TOW_02_T2(DMG:45.0),TOW_01_T1(DMG:107.0),EMPTY
6,LOSS,8,1571.6,38,8,0,55,26,11,9,6,30,30,0,0,0.6,0,0,0,EMPTY,TOW_03_T1(DMG:22.5),EMPTY,EMPTY,TOW_01_T3(DMG:114.0),EMPTY,TOW_04_T2(DMG:49.5),EMPTY,TOW_01_T3(DMG:134.0),EMPTY,TOW_01_T1(DMG:51.0),TOW_02_T1(DMG:52.5),TOW_04_T3(DMG:87.0),TOW_03_T2(DMG:332.5),TOW_01_T1(DMG:51.0),TOW_02_T2(DMG:75.0),TOW_01_T2(DMG:72.0),EMPTY,EMPTY,TOW_02_T2(DMG:135.0),TOW_01_T2(DMG:82.0),TOW_02_T1(DMG:52.5),TOW_01_T1(DMG:51.0),TOW_03_T3(DMG:617.5),TOW_04_T2(DMG:229.5),TOW_02_T1(DMG:52.5),TOW_01_T1(DMG:51.0),EMPTY,TOW_01_T1(DMG:51.0),TOW_02_T3(DMG:112.5),EMPTY,TOW_03_T2(DMG:52.5),TOW_01_T1(DMG:51.0),TOW_02_T3(DMG:112.5),TOW_01_T1(DMG:51.0),TOW_03_T2(DMG:52.5)
7,LOSS,8,974.2,40,11,0,60,26,8,12,6,30,30,0,30,0.2,0.4,0,0.4,EMPTY,EMPTY,TOW_01_T2(DMG:75.0),TOW_02_T1(DMG:59.2),TOW_01_T1(DMG:47.5),TOW_03_T1(DMG:23.2),TOW_04_T3(DMG:377.1),TOW_02_T2(DMG:103.5),TOW_01_T2(DMG:65.0),EMPTY,EMPTY,TOW_02_T3(DMG:137.2),TOW_04_T3(DMG:143.1),EMPTY,TOW_01_T2(DMG:75.0),TOW_02_T2(DMG:103.5),TOW_01_T3(DMG:100.0),TOW_03_T1(DMG:23.2),EMPTY,TOW_02_T2(DMG:103.5),TOW_01_T1(DMG:47.5),TOW_02_T2(DMG:103.5),TOW_01_T3(DMG:180.0),EMPTY,TOW_04_T1(DMG:65.1),TOW_02_T2(DMG:148.5),TOW_01_T1(DMG:47.5),EMPTY,TOW_01_T2(DMG:75.0),TOW_02_T2(DMG:88.5),EMPTY,TOW_03_T2(DMG:54.2),TOW_01_T1(DMG:47.5),TOW_02_T3(DMG:247.2),EMPTY,TOW_03_T2(DMG:54.2)
8,LOSS,8,1003.9,40,10,0,61,28,10,12,6,30,60,0,0,0,0.6,0,0,EMPTY,TOW_03_T3(DMG:620.8),EMPTY,TOW_02_T2(DMG:124.5),TOW_01_T3(DMG:172.0),TOW_03_T3(DMG:100.8),TOW_04_T1(DMG:27.9),TOW_02_T2(DMG:124.5),TOW_01_T1(DMG:45.5),EMPTY,TOW_01_T1(DMG:45.5),TOW_02_T2(DMG:124.5),TOW_04_T2(DMG:237.2),TOW_03_T2(DMG:54.2),TOW_01_T3(DMG:92.0),TOW_02_T1(DMG:92.2),EMPTY,TOW_03_T2(DMG:54.2),EMPTY,TOW_02_T1(DMG:92.2),TOW_01_T2(DMG:101.0),TOW_02_T3(DMG:178.2),TOW_01_T1(DMG:45.5),TOW_03_T2(DMG:334.2),EMPTY,TOW_02_T2(DMG:184.5),TOW_01_T2(DMG:61.0),EMPTY,EMPTY,TOW_02_T1(DMG:92.2),TOW_04_T2(DMG:237.2),TOW_03_T1(DMG:23.2),TOW_01_T1(DMG:45.5),TOW_02_T2(DMG:124.5),TOW_01_T3(DMG:92.0),TOW_03_T1(DMG:23.2)
9,LOSS,8,78.9,40,6,0,55,25,13,4,8,60,0,0,0,0,0,1.2,0,EMPTY,TOW_03_T1(DMG:40.5),EMPTY,TOW_02_T1(DMG:22.5),TOW_01_T3(DMG:200.0),TOW_03_T2(DMG:94.5),TOW_04_T1(DMG:27.0),TOW_02_T1(DMG:22.5),EMPTY,EMPTY,EMPTY,EMPTY,TOW_04_T1(DMG:27.0),TOW_03_T3(DMG:695.5),TOW_01_T2(DMG:100.0),TOW_02_T1(DMG:22.5),TOW_01_T1(DMG:75.0),TOW_03_T1(DMG:40.5),EMPTY,EMPTY,TOW_01_T3(DMG:140.0),TOW_02_T3(DMG:82.5),TOW_01_T3(DMG:120.0),TOW_03_T1(DMG:40.5),TOW_04_T1(DMG:27.0),TOW_02_T1(DMG:22.5),TOW_01_T2(DMG:100.0),EMPTY,TOW_01_T1(DMG:75.0),TOW_02_T3(DMG:192.5),EMPTY,TOW_03_T3(DMG:1215.5),TOW_01_T3(DMG:200.0),TOW_02_T2(DMG:45.0),TOW_01_T1(DMG:75.0),EMPTY
10,LOSS,8,1401.3,38,12,0,61,30,12,11,7,60,0,0,30,0.4,0,0,0,EMPTY,TOW_03_T1(DMG:23.2),TOW_01_T3(DMG:218.0),TOW_02_T2(DMG:46.5),EMPTY,TOW_03_T1(DMG:23.2),EMPTY,TOW_02_T2(DMG:106.5),TOW_01_T1(DMG:79.5),EMPTY,TOW_01_T3(DMG:138.0),TOW_02_T1(DMG:23.2),TOW_04_T2(DMG:267.1),TOW_03_T2(DMG:334.2),TOW_01_T1(DMG:79.5),TOW_02_T1(DMG:23.2),TOW_01_T3(DMG:138.0),TOW_03_T2(DMG:54.2),EMPTY,TOW_02_T2(DMG:46.5),TOW_01_T1(DMG:79.5),TOW_02_T2(DMG:46.5),TOW_01_T2(DMG:139.0),TOW_03_T1(DMG:23.2),TOW_04_T3(DMG:119.9),TOW_02_T1(DMG:23.2),TOW_01_T2(DMG:139.0),EMPTY,TOW_01_T2(DMG:109.0),TOW_02_T1(DMG:23.2),TOW_04_T3(DMG:119.9),TOW_03_T3(DMG:100.8),TOW_01_T2(DMG:99.0),TOW_02_T1(DMG:23.2),TOW_01_T3(DMG:138.0),TOW_03_T1(DMG:23.2)
